id,timestamp,symbol,last_price,bid_price,ask_price,volume,trade_time,msg_type
542,2025-01-21 14:44:48,GS,634.01,100,200,4292819,2025-01-21 20:44:47,quote
543,2025-01-21 14:44:48,QQQ,,524.76,524.78,18805833,,quote
544,2025-01-21 14:44:49,META,617.06,616.94,,7578979,2025-01-21 20:44:47,quote
545,2025-01-21 14:44:49,MSTR,387.67,200,,21477760,2025-01-21 20:44:48,quote
546,2025-01-21 14:44:49,COIN,,200,,10799439,,quote
547,2025-01-21 14:44:49,AAPL,,1300,,70440069,2025-01-21 20:44:48,quote
548,2025-01-21 14:44:49,META,616.955,616.93,,7582203,2025-01-21 20:44:48,quote
549,2025-01-21 14:44:49,GOOG,,600,100,11157984,,quote
550,2025-01-21 14:44:49,GS,,,,4292822,,quote
551,2025-01-21 14:44:49,SPY,602.575,200,,28044511,2025-01-21 20:44:48,quote
552,2025-01-21 14:44:49,TSLA,421.95,700,422,76435098,2025-01-21 20:44:48,quote
553,2025-01-21 14:44:49,NVDA,100,800,100,145234259,2025-01-21 20:44:48,quote
554,2025-01-21 14:44:49,NFLX,,,,5045582,,quote
555,2025-01-21 14:44:49,AMZN,230.8,,,27724578,2025-01-21 20:44:48,quote
556,2025-01-21 14:44:50,QQQ,524.77,1000,524.79,18806910,2025-01-21 20:44:48,quote
557,2025-01-21 14:44:50,AAPL,,1200,300,70443542,2025-01-21 20:44:49,quote
558,2025-01-21 14:44:50,QQQ,,1200,1300,18807040,,quote
559,2025-01-21 14:44:50,SPY,602.5892,602.58,100,28046010,2025-01-21 20:44:49,quote
560,2025-01-21 14:44:50,GS,,,,4292961,,quote
561,2025-01-21 14:44:50,MSTR,387.88,387.8,388.29,21478170,2025-01-21 20:44:49,quote
562,2025-01-21 14:44:50,TSLA,421.9896,421.93,422.04,76436238,2025-01-21 20:44:49,quote
563,2025-01-21 14:44:50,NFLX,,,,5045613,,quote
564,2025-01-21 14:44:50,NVDA,141.246,,,145237593,2025-01-21 20:44:50,quote
565,2025-01-21 14:44:50,META,,,,7582210,,quote
566,2025-01-21 14:44:50,GOOG,,300,200,11158021,,quote
567,2025-01-21 14:44:50,AMZN,,,100,27724731,,quote
568,2025-01-21 14:44:51,COIN,,,,10799474,,quote
569,2025-01-21 14:44:51,NFLX,,,,5045663,,quote
570,2025-01-21 14:44:51,SPY,602.59,602.57,,28047549,2025-01-21 20:44:51,quote
571,2025-01-21 14:44:51,TSLA,422.029,,422.03,76437612,2025-01-21 20:44:51,quote
572,2025-01-21 14:44:51,NVDA,141.24,141.23,141.24,145240841,,quote
573,2025-01-21 14:44:51,GOOG,200.18,600,100,11158478,2025-01-21 20:44:50,quote
574,2025-01-21 14:44:51,QQQ,,900,1400,18807102,,quote
575,2025-01-21 14:44:51,COIN,,300,,,,quote
576,2025-01-21 14:44:51,AMZN,230.785,,200,27724982,2025-01-21 20:44:50,quote
577,2025-01-21 14:44:51,GS,,,,4292967,,quote
578,2025-01-21 14:44:51,MSTR,388.1348,387.97,388.34,21478876,2025-01-21 20:44:50,quote
579,2025-01-21 14:44:52,AAPL,221.5101,900,221.52,70446156,2025-01-21 20:44:50,quote
